基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
007098.OF,添富中债1-3年国开债c,1.01,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.32,--
007107.OF,太平msci香港价值增强a,1.02,1.67,20210811.,指数基金,--,--,--,--,--,7.74,0.10
007108.OF,太平msci香港价值增强c,1.01,1.66,20210811.,指数基金,--,--,--,--,--,7.52,--
007122.OF,工银1-3年国开债指数a,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.22,0.10
007123.OF,工银1-3年国开债指数c,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.17,--
007124.OF,工银1-3年农发债指数a,1.02,0.01,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,2.21,0.10
007125.OF,工银1-3年农发债指数c,1.03,0.00,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,2.18,--
007135.OF,广发中证100etf联接a,1.33,-0.61,20210811.,指数基金,中证100,13.07,1.37,2.62,5.52,-16.16,0.10
007136.OF,广发中证100etf联接c,1.32,-0.60,20210811.,指数基金,中证100,13.07,1.37,2.62,5.52,-16.21,--
007143.OF,国投瑞银沪深300指数量化增强a,1.59,-0.42,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-5.47,0.10
007144.OF,国投瑞银沪深300指数量化增强c,1.58,-0.42,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-5.64,--
007147.OF,博时中债1-3年国开行a,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.34,0.10
007148.OF,博时中债1-3年国开行c,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.19,--
007153.OF,添富中证银行etf联接a,1.07,0.86,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-9.94,0.10
007154.OF,添富中证银行etf联接c,1.07,0.86,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-9.98,--
007155.OF,银河中债央企20债券指数,1.05,0.00,20210811.,指数基金,中债1-3年久期央企20债券指数(总值)财富指数,--,--,--,--,3.53,--
007165.OF,华夏中债1-3年政金债指数a,1.01,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)全价指数,--,--,--,--,2.15,0.10
007166.OF,华夏中债1-3年政金债指数c,1.01,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)全价指数,--,--,--,--,2.09,--
007169.OF,易方达中债1-3年国开行债券指数a,1.01,0.01,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.39,0.10
007170.OF,易方达中债1-3年国开行债券指数c,1.01,0.01,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.33,--
007171.OF,易方达中债3-5年国开行债券指数a,1.01,0.00,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.37,--
007172.OF,易方达中债3-5年国开行债券指数c,1.01,0.00,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.85,--
007178.OF,浙商港股通中华交易服务预期高股息指数增强a,1.13,1.75,20210811.,指数基金,中华预期高股息,--,--,8.81,4.62,14.91,0.10
007180.OF,华安中债1-3年政策金融债a,1.05,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.45,--
007181.OF,华安中债1-3年政策金融债c,1.05,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.39,--
007186.OF,华夏中债3-5年政金债指数a,1.05,0.00,20210811.,指数基金,中债3-5年政策性金融债指数(总值)全价指数,--,--,--,--,3.66,0.10
007187.OF,华夏中债3-5年政金债指数c,1.05,-0.01,20210811.,指数基金,中债3-5年政策性金融债指数(总值)全价指数,--,--,--,--,3.59,--
007191.OF,富国中证价值etf联接c,1.68,1.13,20210811.,指数基金,国信价值,7.31,0.96,4.30,6.87,5.55,--
007197.OF,富国中债1-5年农发行债券指数a,1.02,-0.01,20210811.,指数基金,中债1-5年农发行债券指数(总值)财富指数,--,--,--,--,2.83,--
007198.OF,富国中债1-5年农发行债券指数c,1.02,-0.02,20210811.,指数基金,中债1-5年农发行债券指数(总值)财富指数,--,--,--,--,2.79,--
007208.OF,中邮中债-1-3年久期央企20债券指数a,1.05,-0.01,20210811.,指数基金,中债1-3年久期央企20债券指数(总值)财富指数,--,--,--,--,3.01,--
007209.OF,中邮中债-1-3年久期央企20债券指数c,1.05,-0.01,20210811.,指数基金,中债1-3年久期央企20债券指数(总值)财富指数,--,--,--,--,2.90,--
007216.OF,浙商港股通中华交易服务预期高股息指数增强c,1.12,1.74,20210811.,指数基金,中华预期高股息,--,--,8.81,4.62,14.73,--
007223.OF,工银瑞信中证500etf联接c,1.27,0.71,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.10,--
007228.OF,华安中债7-10年国开债a,1.03,-0.06,20210811.,指数基金,中债7-10年国开行债券指数(总值)财富指数,--,--,--,--,4.41,--
007229.OF,华安中债7-10年国开债c,1.62,-0.07,20210811.,指数基金,中债7-10年国开行债券指数(总值)财富指数,--,--,--,--,4.37,--
007230.OF,兴全沪深300指数(lof)c,2.55,-0.32,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-15.64,--
007252.OF,广发中债农发债总指数a,1.03,-0.01,20210811.,指数基金,中债农发行债券总指数(总值)财富指数,--,--,--,--,2.61,--
007253.OF,广发中债农发债总指数c,1.03,-0.01,20210811.,指数基金,中债农发行债券总指数(总值)财富指数,--,--,--,--,2.56,--
007259.OF,民生加银中债1-3年农发债指数,1.02,0.01,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,2.24,--
007275.OF,银河沪深300指数增强a,1.59,-0.07,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.46,0.10
007276.OF,银河沪深300指数增强c,1.58,-0.07,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.70,--
007284.OF,工银中债1-5年进出口行a,1.04,0.01,20210811.,指数基金,中债1-5年进出口行债券指数(总值)财富指数,--,--,--,--,2.23,0.10
007285.OF,工银中债1-5年进出口行c,1.03,0.01,20210811.,指数基金,中债1-5年进出口行债券指数(总值)财富指数,--,--,--,--,2.17,--
007289.OF,汇添富中债1-3年农发债a,1.02,0.01,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,2.53,--
007290.OF,汇添富中债1-3年农发债c,1.02,0.01,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,2.54,--
007300.OF,国联安中证全指半导体产品与设备etf联接a,2.68,0.60,20210811.,指数基金,半导体,130.51,12.49,0.15,5.49,33.72,0.10
007301.OF,国联安中证全指半导体产品与设备etf联接c,2.66,0.60,20210811.,指数基金,半导体,130.51,12.49,0.15,5.49,33.56,--
007324.OF,鑫元中债1-3年国开行债券指数a,1.04,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.46,--
007325.OF,鑫元中债1-3年国开行债券指数c,1.04,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.42,--
007335.OF,中银中债1-3年期农发行债券指数,1.03,0.00,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,1.91,0.10
007339.OF,易方达沪深300etf联接c,1.81,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.91,--
007364.OF,易方达中债1-3年政金债指数a,1.01,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.38,0.10
007365.OF,易方达中债1-3年政金债指数c,1.01,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.32,--
007366.OF,易方达中债3-5年政金债指数a,1.02,0.02,20210811.,指数基金,中债3-5年政策性金融债指数(总值)财富指数,--,--,--,--,3.32,0.10
007367.OF,易方达中债3-5年政金债指数c,1.02,0.02,20210811.,指数基金,中债3-5年政策性金融债指数(总值)财富指数,--,--,--,--,3.26,--
007379.OF,易方达上证50etf联接发起式a,1.30,-0.65,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-14.02,0.10
007380.OF,易方达上证50etf联接发起式c,1.30,-0.65,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-14.07,--
007386.OF,浙商中证500指数增强c,1.79,0.95,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,17.64,--
007390.OF,上银中债1-3年农发行债券指数,1.03,0.00,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,2.03,0.10
007397.OF,华宝价值基金c,0.91,2.16,20210811.,指数基金,--,--,--,--,--,4.10,--
007404.OF,华宝沪深300增强c,2.13,-0.37,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.88,--
007405.OF,华宝中证100指数c,2.00,-0.67,20210811.,指数基金,中证100,13.07,1.37,2.62,5.52,-16.15,--
007410.OF,浦银安盛中证高股息etf联接a,1.35,0.33,20210811.,指数基金,CS高股息,22.53,4.22,1.85,10.05,7.98,0.10
007411.OF,浦银安盛中证高股息etf联接c,1.34,0.33,20210811.,指数基金,CS高股息,22.53,4.22,1.85,10.05,7.82,--
007413.OF,长城中证500c,1.74,1.30,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,11.73,--
007431.OF,浙商之江凤凰联接,1.57,0.68,20210811.,指数基金,凤凰50,13.74,1.46,3.08,5.50,15.70,0.10
007448.OF,长信沪深300指数增强c,1.70,-0.31,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.75,--
007452.OF,兴银3-5年信用债a,0.95,-0.01,20210713.,指数基金,--,--,--,--,--,-7.56,--
007453.OF,兴银3-5年信用债c,0.97,-0.01,20210713.,指数基金,--,--,--,--,--,-5.61,--
007464.OF,交银创业板50指数a,2.30,-0.74,20210811.,指数基金,创业板50,76.91,11.66,0.32,9.00,3.42,0.10
007465.OF,交银创业板50指数c,2.28,-0.74,20210811.,指数基金,创业板50,76.91,11.66,0.32,9.00,3.22,--
007466.OF,华泰柏瑞中证红利低波etf联接a,1.30,2.09,20210811.,指数基金,红利低波,5.41,0.57,5.88,5.55,9.53,0.10
007467.OF,华泰柏瑞中证红利低波etf联接c,1.29,2.10,20210811.,指数基金,红利低波,5.41,0.57,5.88,5.55,9.40,--
007472.OF,华夏创蓝筹etf联接a,1.89,-1.67,20210811.,指数基金,创业蓝筹,60.83,11.26,0.52,10.05,-3.96,0.10
007473.OF,华夏创蓝筹etf联接c,1.87,-1.67,20210811.,指数基金,创业蓝筹,60.83,11.26,0.52,10.05,-4.16,--
007474.OF,华夏创成长etf联接a,2.72,-0.53,20210811.,指数基金,创成长,103.91,15.25,0.22,8.86,4.41,0.10
007475.OF,华夏创成长etf联接c,2.70,-0.53,20210811.,指数基金,创成长,103.91,15.25,0.22,8.86,4.20,--
007485.OF,博时中债3-5年国开行a,1.02,0.00,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.30,0.10
007486.OF,博时中债3-5年国开行c,1.02,0.00,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.23,--
007495.OF,兴业中债1-3年政策性金融债c,1.10,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)全价指数,--,--,--,--,2.26,--
007505.OF,华夏中证ah经济蓝筹股票指数a,1.34,0.38,20210811.,指数基金,--,--,--,--,--,-5.54,0.10
007506.OF,华夏中证ah经济蓝筹股票指数c,1.33,0.38,20210811.,指数基金,--,--,--,--,--,-5.68,--
007507.OF,大成中债3-5年国开债指数a,1.04,-0.01,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.17,--
007508.OF,大成中债3-5年国开债指数c,1.04,-0.01,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.12,--
007531.OF,华宝券商etf联接c,1.50,-0.80,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-3.36,--
007538.OF,永赢沪深300a,1.54,-0.43,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.53,0.10
007539.OF,永赢沪深300c,1.54,-0.43,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.57,--
007541.OF,新华msci中国a股国际etf联接,1.40,-0.26,20210811.,指数基金,MSCI中国A股国际,--,--,--,--,-11.32,0.10
007571.OF,南方上证380etf联接c,2.03,0.85,20210811.,指数基金,上证380,19.33,1.86,1.87,5.05,11.18,--
007580.OF,宝盈中证100指数增强c,2.31,-0.52,20210811.,指数基金,中证100,13.07,1.37,2.62,5.52,-13.38,--
007593.OF,鹏扬中证500质量成长指数a,1.76,1.16,20210811.,指数基金,500质量,17.78,2.17,1.99,6.41,11.50,0.10
007594.OF,鹏扬中证500质量成长指数c,1.74,1.16,20210811.,指数基金,500质量,17.78,2.17,1.99,6.41,11.29,--
007605.OF,嘉实沪深300红利低波动etf联接a,1.05,0.70,20210811.,指数基金,300红利LV,7.72,0.79,4.25,5.31,-2.19,0.10
007606.OF,嘉实沪深300红利低波动etf联接c,1.04,0.69,20210811.,指数基金,300红利LV,7.72,0.79,4.25,5.31,-2.38,--
007657.OF,东方红中证竞争力指数a,1.47,-0.21,20210811.,指数基金,--,--,--,--,--,-10.82,--
007658.OF,东方红中证竞争力指数c,1.46,-0.21,20210811.,指数基金,--,--,--,--,--,-11.00,--
007664.OF,永赢创业板a,2.13,-0.82,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,5.29,0.10
007665.OF,永赢创业板c,2.13,-0.82,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,5.24,--
007671.OF,建信中证红利潜力指数a,1.29,-0.29,20210811.,指数基金,红利潜力,19.24,3.18,2.23,8.71,-19.71,0.10
007672.OF,建信中证红利潜力指数c,1.28,-0.30,20210811.,指数基金,红利潜力,19.24,3.18,2.23,8.71,-19.87,--
007721.OF,天弘标普500a,1.33,0.11,20210810.,指数基金,标普500,--,--,1.24,--,12.90,--
007722.OF,天弘标普500c,1.33,0.11,20210810.,指数基金,标普500,--,--,1.24,--,12.76,--
007737.OF,诺德研发创新100,1.88,-0.60,20210811.,指数基金,创新100,56.43,7.55,0.54,7.32,-2.95,0.10
007751.OF,景顺长城沪港深红利成长低波指数a,1.03,0.27,20210811.,指数基金,--,--,--,--,--,7.33,0.10
007760.OF,景顺长城沪港深红利成长低波指数c,1.03,0.28,20210811.,指数基金,--,--,--,--,--,7.20,--
007765.OF,前海开源1-3年国开债a,1.04,-0.02,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.96,0.10
007766.OF,前海开源1-3年国开债c,1.02,-0.02,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,0.55,--
007782.OF,大成msci价值100etf联接a,1.31,-0.33,20210811.,指数基金,--,--,--,--,--,-9.28,0.10
007783.OF,大成msci价值100etf联接c,1.31,-0.33,20210811.,指数基金,--,--,--,--,--,-9.32,--
007784.OF,广发央企创新驱动etf联接a,1.38,0.96,20210811.,指数基金,央企创新,17.23,1.22,2.61,3.67,10.89,0.10
007785.OF,广发央企创新驱动etf联接c,1.37,0.95,20210811.,指数基金,央企创新,17.23,1.22,2.61,3.67,10.84,--
007786.OF,富国中证国企一带一路etf联接a,1.33,0.80,20210811.,指数基金,国企一带一路,17.44,1.57,2.36,4.66,6.97,0.10
007787.OF,富国中证国企一带一路etf联接c,1.32,0.80,20210811.,指数基金,国企一带一路,17.44,1.57,2.36,4.66,6.76,--
007788.OF,易方达中证国企一带一路etf发起式联接a,1.40,0.84,20210811.,指数基金,国企一带一路,17.44,1.57,2.36,4.66,7.74,0.10
007789.OF,易方达中证国企一带一路etf发起式联接c,1.39,0.83,20210811.,指数基金,国企一带一路,17.44,1.57,2.36,4.66,7.69,--
007792.OF,嘉实央企创新驱动etf联接a,1.24,0.94,20210811.,指数基金,央企创新,17.23,1.22,2.61,3.67,9.77,0.10
007793.OF,嘉实央企创新驱动etf联接c,1.24,0.94,20210811.,指数基金,央企创新,17.23,1.22,2.61,3.67,9.66,--
007794.OF,申万菱信中证500指数优选c,1.83,0.85,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.06,--
007795.OF,申万菱信中证500指数增强c,1.91,1.11,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,0.75,--
007796.OF,博时央创etf联接a,1.29,0.94,20210811.,指数基金,央企创新,17.23,1.22,2.61,3.67,10.47,0.10
007797.OF,博时央创etf联接c,1.28,0.95,20210811.,指数基金,央企创新,17.23,1.22,2.61,3.67,10.27,--
007799.OF,申万菱信中小企业100指数(lof)c,1.83,0.05,20210811.,指数基金,中小100,35.25,4.68,0.89,7.30,-5.40,--
007800.OF,申万沪深300价值指数c,1.14,0.76,20210811.,指数基金,300价值,8.04,0.82,4.06,5.34,-7.29,--
007801.OF,大成中证红利指数c,2.09,1.46,20210811.,指数基金,中证红利,6.70,0.71,5.09,5.50,11.98,--
007804.OF,申万菱信沪深300指数增强c,1.60,-0.50,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.84,--
007806.OF,建信msci中国a股指数增强a,1.66,-0.14,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,0.43,0.10
007807.OF,建信msci中国a股指数增强c,1.65,-0.14,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,0.22,--
007809.OF,富国中证央企创新驱动etf联接a,1.33,0.97,20210811.,指数基金,央企创新,17.23,1.22,2.61,3.67,12.97,0.10
007810.OF,富国中证央企创新驱动etf联接c,1.32,0.97,20210811.,指数基金,央企创新,17.23,1.22,2.61,3.67,12.74,--
007813.OF,易方达中证浙江新动能etf联接a,1.15,0.10,20210810.,指数基金,--,--,--,--,--,-9.95,--
007814.OF,易方达中证浙江新动能etf联接c,1.14,0.10,20210810.,指数基金,--,--,--,--,--,-10.04,--
007815.OF,嘉实新兴科技100etf联接a,1.44,-0.78,20210811.,指数基金,--,--,--,--,--,1.82,0.10
007816.OF,嘉实新兴科技100etf联接c,1.43,-0.78,20210811.,指数基金,--,--,--,--,--,1.72,--
007817.OF,国泰中证全指通信设备etf联接a,1.05,-1.24,20210811.,指数基金,通信设备,39.47,3.55,0.72,4.79,6.26,0.10
007818.OF,国泰中证全指通信设备etf联接c,1.04,-1.23,20210811.,指数基金,通信设备,39.47,3.55,0.72,4.79,6.10,--
007839.OF,汇添富中证长三角etf联接a,1.31,-0.37,20210811.,指数基金,CS长三角,20.02,2.03,1.70,5.37,-5.54,0.10
007840.OF,汇添富中证长三角etf联接c,1.31,-0.37,20210811.,指数基金,CS长三角,20.02,2.03,1.70,5.37,-5.68,--
007842.OF,南华中证杭州湾区etf联接a,1.41,-0.23,20210811.,指数基金,杭州湾区,31.20,4.49,0.95,8.04,-5.01,0.10
007843.OF,南华中证杭州湾区etf联接c,1.40,-0.23,20210811.,指数基金,杭州湾区,31.20,4.49,0.95,8.04,-5.20,--
007844.OF,华宝油气c,0.41,2.69,20210810.,指数基金,--,--,--,--,--,9.79,--
007846.OF,华富中债-0-5年中高等级信用债指数a,1.02,-0.01,20210811.,指数基金,中债0-5年中高等级信用债收益平衡指数(总值)财富指数,--,--,--,--,1.37,0.10
007847.OF,华富中债-0-5年中高等级信用债指数c,1.03,0.00,20210811.,指数基金,中债0-5年中高等级信用债收益平衡指数(总值)财富指数,--,--,--,--,1.29,--
007856.OF,易方达中证800etf联接发起式a,1.49,-0.23,20210811.,指数基金,中证800,16.64,1.65,2.07,5.21,-6.27,--
007857.OF,易方达中证800etf联接发起式c,1.49,-0.23,20210811.,指数基金,中证800,16.64,1.65,2.07,5.21,-6.31,--
007873.OF,华宝科技etf联接a,1.59,-0.70,20210811.,指数基金,科技龙头,54.99,6.37,0.58,6.36,-4.43,0.10
007874.OF,华宝科技etf联接c,1.58,-0.71,20210811.,指数基金,科技龙头,54.99,6.37,0.58,6.36,-4.62,--
007882.OF,易方达沪深300非银etf联接c,0.97,-0.51,20210811.,指数基金,300非银,14.06,1.60,2.47,6.08,-11.61,--
007883.OF,易方达沪深300医药卫生etf联接c,1.75,-2.04,20210811.,指数基金,300医药,54.33,8.39,0.55,8.76,-14.16,--
007885.OF,中融中证500etf联接a,1.33,0.69,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.21,0.10
007886.OF,中融中证500etf联接c,1.32,0.68,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.12,--
007910.OF,大成有色金属期货etf联接a,1.18,0.86,20210811.,指数基金,--,--,--,--,--,7.26,0.10
007911.OF,大成有色金属期货etf联接c,1.17,0.85,20210811.,指数基金,--,--,--,--,--,7.04,--
007932.OF,鹏华中证500etf联接a,1.48,0.81,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,12.46,0.10
007937.OF,华夏饲料豆粕期货etf联接a,1.27,0.13,20210811.,指数基金,--,--,--,--,--,-2.01,0.10
007938.OF,华夏饲料豆粕期货etf联接c,1.26,0.13,20210811.,指数基金,--,--,--,--,--,-2.16,--
007943.OF,富安达中证500指数增强,1.37,0.46,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,6.76,0.10
007946.OF,大成中债1-3年国开债指数a,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.28,--
007947.OF,大成中债1-3年国开债指数c,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.22,--
007962.OF,博时中债3-5政金债指数a,1.03,0.00,20210811.,指数基金,中债3-5年政策性金融债指数(总值)财富指数,--,--,--,--,3.09,--
007963.OF,博时中债3-5政金债指数c,1.03,-0.01,20210811.,指数基金,中债3-5年政策性金融债指数(总值)财富指数,--,--,--,--,3.04,--
007983.OF,中证研发创新100etf联接a,1.97,-0.56,20210811.,指数基金,创新100,56.43,7.55,0.54,7.32,2.88,0.10
007984.OF,中证研发创新100etf联接c,1.96,-0.56,20210811.,指数基金,创新100,56.43,7.55,0.54,7.32,2.72,--
007992.OF,华夏中证全指证券公司etf联接a,1.20,-0.72,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-1.12,0.10
007993.OF,华夏中证全指证券公司etf联接c,1.20,-0.72,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-1.27,--
007994.OF,华夏中证500指数增强a,1.80,0.73,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,19.56,0.10
007995.OF,华夏中证500指数增强c,1.79,0.73,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,19.33,--
008001.OF,鹏华中证500etf联接c,1.47,0.80,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,12.36,--
008015.OF,嘉实中债3-5年国开债指数a,1.03,-0.01,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.43,--
008016.OF,嘉实中债3-5年国开债指数c,1.03,-0.01,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.39,--
008020.OF,华富中证人工智能产业etf联接a,1.03,-1.09,20210811.,指数基金,人工智能,61.75,6.90,0.52,6.18,5.99,0.10
008021.OF,华富中证人工智能产业etf联接c,1.03,-1.09,20210811.,指数基金,人工智能,61.75,6.90,0.52,6.18,5.84,--
008042.OF,兴业中证银行50金融债指数a,1.05,0.03,20210811.,指数基金,银行50金融债,--,--,--,4.08,2.63,0.10
008043.OF,兴业中证银行50金融债指数c,1.05,0.02,20210811.,指数基金,银行50金融债,--,--,--,4.08,2.59,--
008052.OF,工银湾创100etf联接a,1.20,-0.19,20210811.,指数基金,湾创100,19.26,2.93,1.34,8.18,-13.51,0.10
008053.OF,工银湾创100etf联接c,1.19,-0.19,20210811.,指数基金,湾创100,19.26,2.93,1.34,8.18,-13.69,--
008054.OF,汇添富中债7-10年国开债a,1.03,-0.04,20210811.,指数基金,中债7-10年国开行债券指数(总值)财富指数,--,--,--,--,3.71,0.10
008055.OF,汇添富中债7-10年国开债c,1.03,-0.04,20210811.,指数基金,中债7-10年国开行债券指数(总值)财富指数,--,--,--,--,3.65,--
008056.OF,南方上证50增强a,1.46,-1.01,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-14.85,0.10
008057.OF,南方上证50增强c,1.45,-1.00,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-15.02,--
008072.OF,景顺长城创业板综指增强,1.69,0.04,20210811.,指数基金,创业板综,100.19,6.56,0.39,3.54,17.64,0.10
008086.OF,华夏中证5g通信主题etf联接a,1.22,-0.96,20210811.,指数基金,5G通信,41.72,5.05,0.70,6.68,7.66,0.10
008087.OF,华夏中证5g通信主题etf联接c,1.21,-0.96,20210811.,指数基金,5G通信,41.72,5.05,0.70,6.68,7.50,--
008088.OF,华夏中证全指房地产etf联接a,0.93,2.81,20210811.,指数基金,房地产,7.27,0.90,3.57,6.47,2.67,0.10
008089.OF,华夏中证全指房地产etf联接c,0.92,2.81,20210811.,指数基金,房地产,7.27,0.90,3.57,6.47,2.51,--
008112.OF,中泰中证500指数增强a,1.54,0.94,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.64,0.10
008113.OF,中泰中证500指数增强c,1.53,0.94,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.42,--
008114.OF,天弘中证红利低波动100a,1.14,0.80,20210811.,指数基金,红利低波100,6.46,0.64,5.10,5.15,9.06,0.10
008115.OF,天弘中证红利低波动100c,1.14,0.80,20210811.,指数基金,红利低波100,6.46,0.64,5.10,5.15,8.95,--
008124.OF,中邮中证500指数增强c,1.44,0.92,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,-2.28,--
008125.OF,创金合信中债1-3年国开债a,1.04,0.01,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.27,0.10
008126.OF,创金合信中债1-3年国开债c,1.03,0.01,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.21,--
008142.OF,工银黄金etf联接a,0.90,-0.29,20210811.,指数基金,--,--,--,--,--,-5.80,0.10
008143.OF,工银黄金etf联接c,0.90,-0.29,20210811.,指数基金,--,--,--,--,--,-5.96,--
008149.OF,山西证券中证红利潜力etf联接,--,--,--,指数基金,--,--,--,--,--,--,--
008154.OF,嘉实医药健康100etf联接a,0.92,-2.10,20210811.,指数基金,--,--,--,--,--,--,0.10
008155.OF,嘉实医药健康100etf联接c,0.92,-2.11,20210811.,指数基金,--,--,--,--,--,--,--
008156.OF,中金中债1-3年政金债指数a,1.03,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,1.74,0.10
008157.OF,中金中债1-3年政金债指数c,1.03,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,1.69,--
008163.OF,南方大盘红利50a,1.17,1.08,20210811.,指数基金,--,--,--,--,--,4.75,0.10
008164.OF,南方大盘红利50c,1.16,1.08,20210811.,指数基金,--,--,--,--,--,4.57,--
008184.OF,新华沪深300指数增强c,1.49,-0.44,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-2.49,--
008189.OF,国泰中证钢铁etf联接a,1.76,1.92,20210811.,指数基金,中证钢铁,18.37,1.42,2.44,3.98,42.78,0.10
008190.OF,国泰中证钢铁etf联接c,1.75,1.92,20210811.,指数基金,中证钢铁,18.37,1.42,2.44,3.98,42.57,--
