基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
013134.OF,msci联接e,1.83,-0.22,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,--,--
013138.OF,上银中债5-10年国开行债券指数,--,--,--,指数基金,--,--,--,--,--,--,--
013162.OF,广发中证沪港深科技龙头etf联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013163.OF,广发中证沪港深科技龙头etf联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013171.OF,华夏恒生互联网科技业etf发起式联接(qdii)a,--,--,--,指数基金,--,--,--,--,--,--,--
013172.OF,华夏恒生互联网科技业etf发起式联接(qdii)c,--,--,--,指数基金,--,--,--,--,--,--,--
013177.OF,华宝深创100etf发起式联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013178.OF,华宝深创100etf发起式联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013179.OF,广发国证新能源车电池etf发起联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013180.OF,广发国证新能源车电池etf发起联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013195.OF,招商中证新能源汽车指数a,--,--,--,指数基金,--,--,--,--,--,--,--
013196.OF,招商中证新能源汽车指数c,--,--,--,指数基金,--,--,--,--,--,--,--
013218.OF,国泰中证有色金属etf发起联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013219.OF,国泰中证有色金属etf发起联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013233.OF,华夏中证500指数智选增强a,--,--,--,指数基金,--,--,--,--,--,--,--
013234.OF,华夏中证500指数智选增强c,--,--,--,指数基金,--,--,--,--,--,--,--
013298.OF,南方中证科创创业50etf联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013299.OF,南方中证科创创业50etf联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013302.OF,招商中证科创创业50etf联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013303.OF,招商中证科创创业50etf联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013304.OF,易方达中证科创创业50etf联接基金a,--,--,--,指数基金,--,--,--,--,--,--,--
013305.OF,易方达中证科创创业50etf联接基金c,--,--,--,指数基金,--,--,--,--,--,--,--
013306.OF,国泰中证科创创业50etf发起联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013307.OF,国泰中证科创创业50etf发起联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013310.OF,华夏科创创业50etf发起式联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013311.OF,华夏科创创业50etf发起式联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013313.OF,富国中证科创创业50etf联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013314.OF,富国中证科创创业50etf联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013315.OF,嘉实中证科创创业50etf发起联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013316.OF,嘉实中证科创创业50etf发起联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013317.OF,华宝中证科创创业50etf发起式联接a,--,--,--,指数基金,--,--,--,--,--,--,--
013318.OF,华宝中证科创创业50etf发起式联接c,--,--,--,指数基金,--,--,--,--,--,--,--
020011.OF,国泰沪深300指数a,1.04,-0.47,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.60,0.10
020021.OF,国泰上证180金融etf联接,1.15,0.37,20210811.,指数基金,180金融,7.12,0.74,4.29,5.51,-10.95,0.10
040002.OF,华安中国a股增强指数,1.05,-0.38,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-3.67,0.10
040046.OF,华安纳斯达克100指数,4.39,-0.52,20210810.,指数基金,纳斯达克100,--,--,0.59,--,11.45,0.10
040047.OF,华安纳斯达克100指数美元钞,0.68,-0.53,20210810.,指数基金,纳斯达克100,--,--,0.59,--,10.67,--
040048.OF,华安纳斯达克100指数美元汇,0.68,-0.53,20210810.,指数基金,纳斯达克100,--,--,0.59,--,10.67,--
040180.OF,华安上证180etf联接,1.76,-0.46,20210811.,指数基金,上证180,12.70,1.27,2.66,5.25,-10.93,0.10
040190.OF,华安上证龙头etf联接,1.51,-0.33,20210811.,指数基金,上证龙头,14.06,1.50,2.60,5.58,-6.54,0.10
050002.OF,博时沪深300指数a,1.93,-0.47,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-13.02,0.10
050013.OF,博时上证超大盘etf联接,1.24,-0.82,20210811.,指数基金,超大盘,12.41,1.55,2.59,6.53,-14.96,0.10
050021.OF,博时创业板etf联接a,2.81,-0.82,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,2.57,0.10
050024.OF,博时上证自然资源etf联接,1.03,1.92,20210811.,指数基金,上证资源,24.70,1.20,3.18,2.45,25.67,0.10
050025.OF,博时标普500etf联接(qdii)a,3.23,0.09,20210810.,指数基金,--,--,--,--,--,13.34,0.10
070023.OF,嘉实深证基本面120联接a,2.44,0.68,20210811.,指数基金,深证F120,24.24,2.94,1.44,6.49,-9.70,0.10
070030.OF,嘉实中创400etf联接a,2.09,0.43,20210811.,指数基金,中创400,38.67,3.51,0.83,4.83,11.22,0.10
070039.OF,嘉实中证500etf联接c,1.53,0.75,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.88,--
090010.OF,大成中证红利指数a,2.09,1.45,20210811.,指数基金,中证红利,6.70,0.71,5.09,5.50,12.11,0.10
090012.OF,大成深证成长40etf联接,1.54,-0.71,20210811.,指数基金,成长40,36.21,8.38,0.72,13.23,-10.74,0.10
096001.OF,大成标普500等权重指数qdii,2.26,0.40,20210810.,指数基金,--,--,--,--,--,14.06,0.10
100032.OF,富国中证红利指数增强a,1.16,1.49,20210811.,指数基金,中证红利,6.70,0.71,5.09,5.50,10.32,0.10
